phecode,male_only,female_only
411,FALSE,FALSE
411.1,FALSE,FALSE
411.2,FALSE,FALSE
411.3,FALSE,FALSE
411.4,FALSE,FALSE
411.41,FALSE,FALSE
411.8,FALSE,FALSE
411.9,FALSE,FALSE
414,FALSE,FALSE
414.2,FALSE,FALSE
415,FALSE,FALSE
415.1,FALSE,FALSE
415.11,FALSE,FALSE
415.2,FALSE,FALSE
415.21,FALSE,FALSE
416,FALSE,FALSE
418,FALSE,FALSE
418.1,FALSE,FALSE
420,FALSE,FALSE
420.1,FALSE,FALSE
420.2,FALSE,FALSE
420.21,FALSE,FALSE
420.22,FALSE,FALSE
420.3,FALSE,FALSE
425,FALSE,FALSE
425.1,FALSE,FALSE
425.11,FALSE,FALSE
425.12,FALSE,FALSE
425.2,FALSE,FALSE
425.8,FALSE,FALSE
426,FALSE,FALSE
426.2,FALSE,FALSE
426.21,FALSE,FALSE
426.22,FALSE,FALSE
426.23,FALSE,FALSE
426.24,FALSE,FALSE
426.25,FALSE,FALSE
426.3,FALSE,FALSE
426.31,FALSE,FALSE
426.32,FALSE,FALSE
426.4,FALSE,FALSE
426.7,FALSE,FALSE
426.8,FALSE,FALSE
426.9,FALSE,FALSE
426.91,FALSE,FALSE
426.92,FALSE,FALSE
427,FALSE,FALSE
427.1,FALSE,FALSE
427.11,FALSE,FALSE
427.12,FALSE,FALSE
427.2,FALSE,FALSE
427.21,FALSE,FALSE
427.22,FALSE,FALSE
427.3,FALSE,FALSE
427.4,FALSE,FALSE
427.41,FALSE,FALSE
427.42,FALSE,FALSE
427.5,FALSE,FALSE
427.6,FALSE,FALSE
427.61,FALSE,FALSE
427.7,FALSE,FALSE
427.8,FALSE,FALSE
427.9,FALSE,FALSE
428,FALSE,FALSE
428.1,FALSE,FALSE
428.2,FALSE,FALSE
428.3,FALSE,FALSE
428.4,FALSE,FALSE
429,FALSE,FALSE
429.1,FALSE,FALSE
429.2,FALSE,FALSE
429.3,FALSE,FALSE
429.9,FALSE,FALSE
430,FALSE,FALSE
430.1,FALSE,FALSE
430.2,FALSE,FALSE
430.3,FALSE,FALSE
433,FALSE,FALSE
433.1,FALSE,FALSE
433.11,FALSE,FALSE
433.12,FALSE,FALSE
433.2,FALSE,FALSE
433.21,FALSE,FALSE
433.3,FALSE,FALSE
433.31,FALSE,FALSE
433.32,FALSE,FALSE
433.5,FALSE,FALSE
433.6,FALSE,FALSE
433.8,FALSE,FALSE
440,FALSE,FALSE
440.1,FALSE,FALSE
440.2,FALSE,FALSE
440.21,FALSE,FALSE
440.22,FALSE,FALSE
440.9,FALSE,FALSE
441,FALSE,FALSE
441.1,FALSE,FALSE
441.2,FALSE,FALSE
442,FALSE,FALSE
442.1,FALSE,FALSE
442.11,FALSE,FALSE
442.2,FALSE,FALSE
442.3,FALSE,FALSE
442.4,FALSE,FALSE
442.8,FALSE,FALSE
443,FALSE,FALSE
443.1,FALSE,FALSE
443.7,FALSE,FALSE
443.8,FALSE,FALSE
443.9,FALSE,FALSE
444,FALSE,FALSE
444.1,FALSE,FALSE
444.2,FALSE,FALSE
444.5,FALSE,FALSE
446,FALSE,FALSE
446.1,FALSE,FALSE
446.2,FALSE,FALSE
446.3,FALSE,FALSE
446.4,FALSE,FALSE
446.5,FALSE,FALSE
446.6,FALSE,FALSE
446.7,FALSE,FALSE
446.8,FALSE,FALSE
446.9,FALSE,FALSE
447,FALSE,FALSE
447.1,FALSE,FALSE
447.7,FALSE,FALSE
448,FALSE,FALSE
450,FALSE,FALSE
451,FALSE,FALSE
451.2,FALSE,FALSE
452,FALSE,FALSE
452.1,FALSE,FALSE
452.2,FALSE,FALSE
452.8,FALSE,FALSE
453,FALSE,FALSE
454,FALSE,FALSE
454.1,FALSE,FALSE
454.11,FALSE,FALSE
455,FALSE,FALSE
456,FALSE,FALSE
