"","code","phecode_unrolled"
"830","428","428"
"831","428.1","428.1"
"832","428.2","428.2"
"833","428.3","428.3"
"834","428.4","428.4"
"835","429","429"
"836","429.1","429.1"
"837","429.2","429.2"
"838","429.3","429.3"
"839","429.9","429.9"
"840","430","430"
"841","430.1","430.1"
"842","430.2","430.2"
"843","430.3","430.3"
"844","433","433"
"845","433.1","433.1"
"846","433.11","433.11"
"847","433.12","433.12"
"848","433.2","433.2"
"849","433.21","433.21"
"850","433.3","433.3"
"851","433.31","433.31"
"852","433.32","433.32"
"853","433.5","433.5"
"854","433.6","433.6"
"855","433.8","433.8"
"856","440","440"
"857","440.1","440.1"
"858","440.2","440.2"
"859","440.21","440.21"
"860","440.22","440.22"
"861","440.9","440.9"
"862","441","441"
"863","441.1","441.1"
"864","441.2","441.2"
"865","442","442"
"866","442.1","442.1"
"867","442.11","442.11"
"868","442.2","442.2"
"869","442.3","442.3"
"870","442.4","442.4"
"871","442.8","442.8"
"872","443","443"
"873","443.1","443.1"
"874","443.7","443.7"
"875","443.8","443.8"
"876","443.9","443.9"
"877","444","444"
"878","444.1","444.1"
"879","444.2","444.2"
"880","444.5","444.5"
"881","446","446"
"882","446.1","446.1"
"883","446.2","446.2"
"884","446.3","446.3"
"885","446.4","446.4"
"886","446.5","446.5"
"887","446.6","446.6"
"888","446.7","446.7"
"889","446.8","446.8"
"890","446.9","446.9"
"891","447","447"
"892","447.1","447.1"
"893","447.7","447.7"
"894","448","448"
"895","450","450"
"896","451","451"
"897","451.2","451.2"
"898","452","452"
"899","452.1","452.1"
"900","452.2","452.2"
"901","452.8","452.8"
"902","453","453"
"903","454","454"
"904","454.1","454.1"
"905","454.11","454.11"
"906","455","455"
"907","456","456"
"908","457","457"
"909","457.2","457.2"
"910","457.3","457.3"
"911","458","458"
"912","458.1","458.1"
"913","458.2","458.2"
"914","458.9","458.9"
"915","459","459"
"916","459.1","459.1"
"917","459.7","459.7"
"918","459.9","459.9"
"919","464","464"
"920","465","465"
"921","465.2","465.2"
"922","465.4","465.4"
"923","470","470"
"924","471","471"
"925","472","472"
"926","473","473"
"927","473.1","473.1"
"928","473.3","473.3"
"929","473.4","473.4"
"930","474","474"
"931","474.1","474.1"
"932","474.2","474.2"
"933","475","475"
"934","475.9","475.9"
"935","476","476"
"936","477","477"
"937","478","478"
"938","479","479"
"939","480","480"
"940","480.1","480.1"
"941","480.11","480.11"
"942","480.12","480.12"
"943","480.13","480.13"
"944","480.2","480.2"
"945","480.3","480.3"
"946","480.5","480.5"
"947","481","481"
"948","483","483"
"949","495","495"
"950","495.1","495.1"
"951","495.11","495.11"
"952","495.2","495.2"
"953","496","496"
"954","496.1","496.1"
"955","496.2","496.2"
"956","496.21","496.21"
"957","496.3","496.3"
"958","497","497"
"959","498","498"
"960","499","499"
"961","500","500"
"962","500.1","500.1"
"963","500.2","500.2"
"964","501","501"
"965","502","502"
"966","503","503"
"967","504","504"
"968","504.1","504.1"
"969","505","505"
"970","506","506"
"971","507","507"
"972","508","508"
"973","509","509"
"974","509.1","509.1"
"975","509.2","509.2"
"976","509.3","509.3"
"977","509.5","509.5"
"978","509.8","509.8"
"979","510","510"
"980","510.2","510.2"
"981","512","512"
"982","512.1","512.1"
"983","512.2","512.2"
"984","512.3","512.3"
"985","512.7","512.7"
"986","512.8","512.8"
"987","512.9","512.9"
"988","513","513"
"989","513.3","513.3"
"990","513.31","513.31"
"991","513.32","513.32"
"992","513.4","513.4"
"993","513.8","513.8"
"994","514","514"
"995","514.1","514.1"
"996","514.2","514.2"
"997","516","516"
"998","516.1","516.1"
"999","519","519"
"1000","519.1","519.1"
"1001","519.2","519.2"
"1002","519.8","519.8"
"1003","519.9","519.9"
"1004","520","520"
"1005","520.1","520.1"
"1006","520.2","520.2"
"1007","521","521"
"1008","521.1","521.1"
"1009","521.2","521.2"
"1010","521.4","521.4"
"1011","522","522"
"1012","522.1","522.1"
"1013","522.5","522.5"
"1014","523","523"
"1015","523.1","523.1"
"1016","523.3","523.3"
"1017","523.31","523.31"
"1018","523.32","523.32"
"1019","524","524"
"1020","524.3","524.3"
"1021","525","525"
"1022","525.1","525.1"
"1023","525.2","525.2"
"1024","526","526"
"1025","526.1","526.1"
"1026","526.3","526.3"
"1027","526.4","526.4"
"1028","526.41","526.41"
"1029","526.42","526.42"
"1030","526.5","526.5"
"1031","526.8","526.8"
"1032","526.9","526.9"
"1033","527","527"
"1034","527.1","527.1"
"1035","527.2","527.2"
"1036","527.7","527.7"
"1037","527.8","527.8"
"1038","528","528"
"1039","528.1","528.1"
"1040","528.11","528.11"
"1041","528.12","528.12"
"1042","528.3","528.3"
"1043","528.4","528.4"
"1044","528.41","528.41"
"1045","528.5","528.5"
"1046","528.6","528.6"
"1047","528.7","528.7"
"1048","529","529"
"1049","529.1","529.1"
"1050","529.6","529.6"
"1051","530","530"
"1052","530.1","530.1"
"1053","530.11","530.11"
"1054","530.12","530.12"
"1055","530.13","530.13"
"1056","530.14","530.14"
"1057","530.15","530.15"
"1058","530.2","530.2"
"1059","530.3","530.3"
"1060","530.5","530.5"
"1061","530.6","530.6"
"1062","530.7","530.7"
"1063","530.9","530.9"
"1064","531","531"
"1065","531.1","531.1"
"1066","531.2","531.2"
"1067","531.3","531.3"
"1068","531.4","531.4"
"1069","531.5","531.5"
"1070","532","532"
